service_id,date,exception_type
20150830_-----S-_43,20151003,1
20150830_-----S-_43,20151010,1
20150830_-----S-_43,20151017,1
20150830_-----S-_43,20151024,1
20150830_-----S-_43,20151031,1
20150830_-----S-_43,20151107,1
20150830_-----S-_43,20151114,1
20150830_-----S-_43,20151121,1
20150830_-----S-_43,20151128,1
20150830_-----S-_43,20151205,1
20150830_-----S-_43,20151212,1
20150830_-----S-_43,20151219,1
20150830_-----S-_43,20151226,2
20150830_-----S-_43,20160102,1
20150830_-----S-_43,20160109,1
20150830_-----S-_43,20160116,1
20150830_-----S-_43,20160123,1
20150830_-----S-_43,20160130,1
20150830_-----S-_43,20160206,1
20150830_-----S-_43,20160213,1
20150830_-----S-_43,20160220,1
20150830_-----S-_43,20160227,1
20150830_-----S-_43,20160305,1
20150830_-----S-_43,20160312,1
20150830_-----S-_43,20160319,1
20150830_-----S-_43,20160326,1
20150830_-----S-_43,20160402,1
20150830_-----S-_43,20160409,1
20150830_-----S-_43,20160416,1
20150830_-----S-_43,20160423,1
20150830_-----S-_43,20160430,1
20150830_-----S-_43,20160507,1
20150830_-----S-_43,20160514,1
20150830_-----S-_43,20160521,1
20150830_-----S-_43,20160528,1
20150830_-----S-_43,20160604,1
20150830_--W-F--_34,20150902,1
20150830_--W-F--_34,20150904,1
20150830_--W-F--_34,20150909,1
20150830_--W-F--_34,20150911,1
20150830_--W-F--_34,20150916,1
20150830_--W-F--_34,20150918,1
20150830_--W-F--_34,20150923,1
20150830_--W-F--_34,20150925,1
20150830_--W-F--_34,20150930,1
20150830_--W-F--_34,20151002,1
20150830_--W-F--_34,20151007,1
20150830_--W-F--_34,20151009,1
20150830_--W-F--_34,20151014,1
20150830_--W-F--_34,20151016,1
20150830_--W-F--_34,20151021,1
20150830_--W-F--_34,20151023,1
20150830_--W-F--_34,20151028,1
20150830_--W-F--_34,20151030,1
20150830_--W-F--_34,20151104,1
20150830_--W-F--_34,20151106,1
20150830_--W-F--_34,20151111,1
20150830_--W-F--_34,20151113,1
20150830_--W-F--_34,20151118,1
20150830_--W-F--_34,20151120,1
20150830_--W-F--_34,20151125,1
20150830_--W-F--_34,20151127,1
20150830_--W-F--_34,20151202,1
20150830_--W-F--_34,20151204,1
20150830_--W-F--_34,20151209,1
20150830_--W-F--_34,20151211,1
20150830_--W-F--_34,20151216,1
20150830_--W-F--_34,20151218,1
20150830_--W-F--_34,20151223,1
20150830_--W-F--_34,20151225,2
20150830_--W-F--_34,20151230,1
20150830_--W-F--_34,20160101,2
20150830_--W-F--_34,20160106,1
20150830_--W-F--_34,20160108,1
20150830_--W-F--_34,20160113,1
20150830_--W-F--_34,20160115,1
20150830_--W-F--_34,20160120,1
20150830_--W-F--_34,20160122,1
20150830_--W-F--_34,20160127,1
20150830_--W-F--_34,20160129,1
20150830_--W-F--_34,20160203,1
20150830_--W-F--_34,20160205,1
20150830_--W-F--_34,20160210,1
20150830_--W-F--_34,20160212,1
20150830_--W-F--_34,20160217,1
20150830_--W-F--_34,20160219,1
20150830_--W-F--_34,20160224,1
20150830_--W-F--_34,20160226,1
20150830_--W-F--_34,20160302,1
20150830_--W-F--_34,20160304,1
20150830_--W-F--_34,20160309,1
20150830_--W-F--_34,20160311,1
20150830_--W-F--_34,20160316,1
20150830_--W-F--_34,20160318,1
20150830_--W-F--_34,20160323,1
20150830_--W-F--_34,20160325,2
20150830_--W-F--_34,20160330,1
20150830_--W-F--_34,20160401,1
20150830_--W-F--_34,20160406,1
20150830_--W-F--_34,20160408,1
20150830_--W-F--_34,20160413,1
20150830_--W-F--_34,20160415,1
20150830_--W-F--_34,20160420,1
20150830_--W-F--_34,20160422,1
20150830_--W-F--_34,20160427,1
20150830_--W-F--_34,20160429,1
20150830_--W-F--_34,20160504,1
20150830_--W-F--_34,20160506,1
20150830_--W-F--_34,20160511,1
20150830_--W-F--_34,20160513,1
20150830_--W-F--_34,20160518,1
20150830_--W-F--_34,20160520,1
20150830_--W-F--_34,20160525,1
20150830_--W-F--_34,20160527,1
20150830_M-W-F--_10,20150831,1
20150830_M-W-F--_10,20150902,1
20150830_M-W-F--_10,20150904,1
20150830_M-W-F--_10,20150907,1
20150830_M-W-F--_10,20150909,1
20150830_M-W-F--_10,20150911,1
20150830_M-W-F--_10,20150914,1
20150830_M-W-F--_10,20150916,1
20150830_M-W-F--_10,20150918,1
20150830_M-W-F--_10,20150921,1
20150830_M-W-F--_10,20150923,1
20150830_M-W-F--_10,20150925,1
20150830_M-W-F--_10,20150928,1
20150830_M-W-F--_10,20150930,1
