stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
13001304,ÁSABRA1,Ásabraut / Hraunsholtsbraut,64.085690999999997,-21.950247999999998,0
13001305,ÁLFTANE,Álftanesvegur / Herjólfsgata,64.085065999999998,-21.968357999999998,0
13001306,ÁLFTAN1,Álftanesvegur / Garðaholtsvegur,64.089246000000003,-21.982334000000002,0
13001322,ÁLFTAN6,Garðahraun,64.084827000000004,-21.958036,0
13001323,ÁLFTAN7,Garðahraun,64.084719000000007,-21.957896000000002,0
13001328,ÁLFTAN3,Álftanesvegur / Garðaholtsvegur,64.088768999999999,-21.981235000000002,0
13001329,ÁLFTAN2,Álftanesvegur / Herjólfsgata,64.084810000000004,-21.967694999999999,0
13001330,VÍFIL10,Vífilsstaðavegur / Sjáland,64.091666000000004,-21.942917999999999,0
13001333,VÍFILS6,Vífilsstaðavegur / Sjáland,64.091819999999998,-21.942955999999999,0
13001334,VÍFILS8,Garðatorg,64.088165000000004,-21.921699,0
13001335,VÍFILS7,Vídalínskirkja,64.086336000000003,-21.915693999999998,0
13001336,VÍFILS5,Vífilsstaðavegur / Sjávargrund,64.092021000000003,-21.929625999999999,0
13001337,VÍFILST,Vífilsstaðavegur / Markarflöt,64.084208000000004,-21.904143000000001,0
13001338,VÍFILS1,Vífilsstaðir,64.082295999999999,-21.890236000000002,0
13001339,VÍFILS3,Vífilsstaðavegur / Asparlundur,64.084171999999995,-21.902866,0
13001343,SUÐURHR,Suðurhraun,64.077766999999994,-21.926525999999999,0
13001344,AUSTUR8,Austurhraun / Suðurhraun,64.076160999999999,-21.922743000000001,0
13001345,MAREL,Marel,64.076783000000006,-21.918972,0
13001346,AUSTUR9,Austurhraun / Miðhraun,64.078025999999994,-21.914425999999999,0
13001347,AUSTU11,Austurhraun / Miðhraun,64.078046999999998,-21.914549000000001,0
13001348,MAREL1,Marel,64.076843999999994,-21.919125999999999,0
13001349,AUSTU10,Austurhraun / Suðurhraun,64.076222000000001,-21.922933,0
13001350,SUÐURH8,Suðurhraun,64.077831000000003,-21.926386999999998,0
13001351,ÁSABRA4,Ásabraut / Hraunsholtsbraut,64.085576000000003,-21.950153,0
13001352,ÁSABRA5,Ásabraut / Brekkuás,64.086952999999994,-21.941986,0
13001353,ÁSABRA6,Ásabraut / Birkiás,64.088123999999993,-21.940318999999999,0
13001354,ÁSABRA7,Ásabraut / Arnarás,64.090879000000001,-21.942775000000001,0
13001355,SJÁLAND,Sjálandsskóli,64.092082,-21.936259,0
13001356,SJÁLAN1,Sjálandsskóli,64.092176,-21.93456,0
13001361,KAUPTÚN,Kauptún,64.074007,-21.914028,0
13001362,ARNAR12,Arnarnesvegur / Nónhæð,64.096512,-21.894143,0
13001504,REYKJA7,Hraunsholt,64.086284000000006,-21.937747999999999,0
13001506,HAFNAR4,Silfurtún,64.095162999999999,-21.922373,0
13001507,HAFNAR5,Arnarneshæð,64.099366000000003,-21.914992000000002,0
13001523,HAFNAR3,Hegranes,64.096185000000006,-21.921987999999999,0
13001525,REYKJAV,Ásar,64.086354999999998,-21.938268999999998,0
13001584,FLATAH6,Flatahraun / Álftanesvegur,64.077451999999994,-21.92963,0
13001585,GÓA,Góa,64.075887,-21.928453,0
13001586,REYKJ23,Reykjanesbraut / Vífilsstaðir,64.082286,-21.890105,0
13001587,REYKJ24,Reykjanesbraut / Vífilsstaðavegur,64.083042,-21.896583,0
13009990,GARÐAB.,Garðab./Hafnarfj.,64.0833686454624,-21.946096048053,0
13009991,GARÐAB1,Garðab./Kópav.,64.1016222466857,-21.9082827790938,0
13009992,GARÐAB2,Garðab./Kópav.,64.0990664777016,-21.9064639656822,0
13009993,GARÐAB3,Garðab./Kópav.,64.1025224629367,-21.9057477525196,0
13009994,GARÐAB4,Garðab./Hafnarfj.,64.0774002705876,-21.9308367535753,0
13009995,GARÐAB5,Garðab./Álftanes,64.0999395796472,-22.0074841378133,0
14001500,FJÖRÐUR,Fjörður,64.067849,-21.957284,0
14001501,REYKJA4,Sjónarhóll,64.072041999999996,-21.954509999999999,0
14001502,REYKJA5,Hraunbrún,64.075941,-21.951317,0
14001503,REYKJA6,Stakkahraun,64.079736999999994,-21.948809000000001,0
14001504,HJALLA7,Hjallabraut / Hraunbrún,64.072402,-21.966206,0
14001505,HJALLA8,Hjallabraut / Skátaheimilið,64.075421,-21.966105,0
14001506,HJALLA9,Hjallabraut / Skjólvangur,64.077295,-21.965835,0
14001512,HJALL10,Hjallabraut / Laufvangur,64.078802,-21.954223,0
14001513,FLATAH7,Flatahraun / Sléttahraun,64.075161,-21.950128,0
14001514,IÐNSKÓL,Iðnskólinn,64.075418,-21.94595,0
14001515,KAPLAKR,Kaplakriki,64.075421,-21.936658,0
14001516,HAMRABE,Hamraberg / Víðiberg,64.073995,-21.932517,0
14001517,HAMRAB4,Hamraberg / Lyngberg,64.073107,-21.934333,0
14001518,HAMRAB5,Hamraberg / Hnotuberg,64.071659,-21.936371,0
14001519,HAMRAB6,Hamraberg / Einiberg,64.068279,-21.935925,0
14001520,LÆKJARS,Lækjarskóli,64.067521,-21.939938,0
14001521,SELVOGS,Selvogsgata,64.06374,-21.946437,0
14001522,ÖLDUTÚN,Öldutúnsskóli,64.062594,-21.944402,0
14001523,KALDÁR3,Kaldárselsvegur / Dalsás,64.057965,-21.934665,0
14001524,BREKKUÁ,Brekkuás,64.054817,-21.93035,0
14001525,GOÐATOR,Goðatorg,64.057963,-21.949083,0
14001526,REYKJA1,Hjallabraut,64.079085000000006,-21.94997,0
14001527,REYKJA2,Hraunbrún,64.074785000000006,-21.952546999999999,0
14001528,REYKJA3,Hellisgerði,64.071811999999994,-21.955183000000002,0
14001529,VESTU37,Vesturgata / Pakkhúsið,64.069953,-21.960135,0
14001530,VESTU15,Vesturgata / Norðurbakki,64.069946000000002,-21.963411000000001,0
14001531,VESTU14,Vesturgata / Bungalow,64.070682000000005,-21.965226000000001,0
14001532,FLÓKAG1,Sundhöll Hafnarfjarðar,64.072826000000006,-21.969366999999998,0
14001533,HJALLA6,Skjólvangur,64.077607999999998,-21.966408999999999,0
14001534,HRAFNIS,Hrafnista,64.079139999999995,-21.971700999999999,0
14001535,HJALLA5,Hjallabraut / Víðivangur,64.078841999999995,-21.963587,0
14001536,HJALLA4,Hjallabraut / Miðvangur,64.079269999999994,-21.958053,0
14001537,HJALLA3,Hjallahraun,64.078033000000005,-21.947396000000001,0
14001538,ÁLFASKE,Mávahraun,64.074825000000004,-21.942399999999999,0
14001539,ÁLFASK1,Álfaskeið,64.071306000000007,-21.941305,0
14001540,SÓLVANG,Sólvangur,64.068838999999997,-21.939605,0
14001541,HRINGB9,Flensborg,64.064380999999997,-21.947991999999999,0
14001542,HRING12,Flensborg,64.064357000000001,-21.948488999999999,0
14001543,HRING11,Hlíðarbraut,64.062707000000003,-21.953896,0
14001544,HRING10,Suðurbæjarlaug,64.060473000000002,-21.962541999999999,0
14001545,STRAND5,Strandgata / Flensborgartorg,64.062054000000003,-21.961625000000002,0
14001546,STRAND6,Strandgata / Fjörukráin,64.065841000000006,-21.956042,0
14001547,ÁSVALL2,Ásvallalaug,64.052061,-21.974783,0
14001550,SUÐURB3,Suðurbraut / Smárabarð,64.060139,-21.966671,0
14001551,HJALLAB,Hjallabraut / Miðvangur,64.079561999999996,-21.958359000000002,0
14001552,HJALLA1,Hjallabraut / Víðivangur,64.079396000000003,-21.962947,0
14001553,HJALLA2,Skjólvangur,64.077691999999999,-21.966353000000002,0
14001554,FLÓKAGA,Sundhöll Hafnarfjarðar,64.072793000000004,-21.969543999999999,0
14001555,VESTURG,Vesturgata / Bungalow,64.070666000000003,-21.965676999999999,0
14001556,VESTU13,Vesturgata / Norðurbakki,64.069818999999995,-21.963072,0
14001558,SUÐURB6,Suðurbraut / Hvaleyrarbraut,64.056582,-21.977544,0
14001561,LÆKJAR2,Lækjargata,64.067288000000005,-21.947194,0
14001562,SUÐURB5,Suðurbraut / Melabraut,64.058801000000003,-21.971655999999999,0
14001563,HVALEY1,Kaldárselsvegur,64.058817000000005,-21.939937,0
14001564,KALDÁR2,Kaldárselsvegur,64.058903999999998,-21.940189,0
14001567,HÁHOLT2,Háholt / Akurholt,64.055659000000006,-21.979984000000002,0
14001568,HÁHOLT3,Háholt / Bæjarholt,64.057010000000005,-21.982707000000001,0
14001569,HÁHOLT4,Háholt / Hörgsholt,64.057772,-21.985420000000001,0
14001570,MIKLAHO,Miklaholt,64.059531000000007,-21.986919,0
14001577,FJARÐA1,Fjarðarkaup,64.081496000000001,-21.938210999999999,0
14001580,HRINGB8,Jófríðarstaðavegur,64.062611000000004,-21.953707999999999,0
14001582,ÁLFASK2,Álfaskeið / Mávahraun,64.074792000000002,-21.942184999999998,0
14001583,SÓLVAN1,Sólvangur,64.068899999999999,-21.939511,0
